,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
20,..,1.3922080356574,1.45078901970317,3.89015994298849,-4.23874622175482,4.79092097463436,7.56971413388881,7.51926409477662,4.74226703836757,-2.88975501590598,8.87586557591442,3.02919389156204,1.53286554948404,8.20241981256358,3.07925420763829,4.12813390815955,4.39820361634993,4.64278719211224,7.71824887270209,6.31076400512391,5.73233718210355,1.45144761560026,5.02025393692568,5.63846713970908,6.51436633665656,7.05721858026766,7.3932258034606,4.11596984612024,8.10567376961014,5.82538910052206,2.86907566666525,5.29268471418919,4.78962834666399,7.84767957045477,7.81724977847536,8.81293338330444,8.46969836494699,8.18657068339763,2.22342428663637,9.41561745970465,10.5175642405504,4.99875524943731,6.1367546770978,5.72823421457849,6.98962928367975,8.83358142719347,7.52192542399146,8.40453726261376,6.50085691586885,3.30753319157023,..
21,191773512389.234,194443398638.979,197264362115.971,204938261312.798,196251448504.472,205653700313.897,221221097533.423,237855296090.324,249135029395.828,241935637387.483,263409519342.228,271388704411.935,275548728367.057,298150391855.903,307331200342.216,320018243833.897,334093297807.179,349604538647.476,376587887010.55,400353459831.669,423303070069.438,429447092386.723,451006426949.28,476436276130.792,507473080518.676,543286565046.897,583452967560.679,607467715771.77,656707067067.932,694962808975.266,714901817819.948,752739317053.165,788792732759.229,850694658901.207,917195585239.663,998027421161.444,1082557333333.28,1171181654614.91,1197221991964.25,1309947834871.06,1447722439921.32,1520090541384.17,1613374768778.68,1705792654293.24,1825021237176.58,1986235974226.15,2135639162951.93,2315129752197.19,2465633024804.24,2547184655481.96,..
22,57839603344.5665,62325777358.756,66108153385.2512,79131354334.2448,91517366723.4577,89230164962.6868,93243974421.563,109719094803.267,124224671989.633,137831709901.928,169164304210.708,173466981785.078,178297238791.713,194477010726.556,188409634881.975,204859098324.05,220862238342.499,246338328401.665,261297836228.009,259880373624.298,280609197876.382,234331955812.708,250496625492.567,243628617640.821,287216341883.007,315978485516.577,345984851080.339,365322781315.499,373182574028.952,404740413274.909,408872345579.385,425015659421.391,451404810426.017,533718958373.17,619354785689.281,713393377038.608,816425092897.748,1054659269895.06,1021584939727.01,1162863959616.03,1447722439921.32,1573696540374.06,1581066858764.98,1600432540832.71,1773161816595.67,1841378195796.16,1994450914992.03,2322046549463.25,2370757635839.1,2489559752922.94,..
23,..,-0.871474858595008,-0.857128953022084,1.50013292325448,-6.44597378364099,2.38595362306503,5.11894342155624,5.08368537753503,2.37422041314552,-5.09295451088863,6.39016792176335,0.66264691923692,-0.80419191410644,5.72060863164138,0.739713429423674,1.80138059595363,2.10511638769238,2.38228446247932,5.43044153562128,4.09020612819158,3.55986876593546,-0.596925072683604,2.93744153332473,3.57709630347804,4.46451370983978,5.02243962369056,5.37705415181145,2.18793853270272,6.13507994523184,3.93179491372267,1.06620675857705,3.48806169712361,3.03401580285305,6.08121124312329,6.08965931913346,7.10751134466095,6.80597726301335,6.56605452560855,0.736878367392066,7.88305412203063,9.03523398801144,3.65451165311758,4.83771175228971,4.48493847202261,5.77087237627572,7.62478666013257,6.35581211697168,7.25791455787981,5.401277106813,2.26604340711145,..
24,345.419734702426,342.409488557869,339.474597693545,344.567167899631,322.356458589787,330.047734192694,346.942690970146,364.580165819422,373.236102538587,354.227357618083,376.863080594703,379.360352188005,376.309566910384,397.836764476752,400.779616450771,407.999182694052,416.588040350596,426.512352508415,449.673856453587,468.066444087127,484.72899523401,481.835526326891,495.989163199531,513.731173221993,536.666771882209,563.620536480402,593.926717937684,606.921469455459,644.156586811327,669.483502727985,676.621581081629,700.222559285809,721.467422389683,765.341380395516,811.948063089956,869.65736378683,928.846046232282,989.834584086853,997.128461009954,1075.73263725754,1172.92759811917,1215.79237387506,1274.60890442946,1331.77432955204,1408.62932645049,1516.0343074244,1612.39059963313,1729.41653169379,1822.82711090161,1864.13316447123,..
25,104.179874444931,109.753983415023,113.766311025443,133.045271685001,150.32354900435,143.202936405346,146.235217903125,168.17538408622,186.104429092063,201.80475651194,242.025348858707,242.480597877394,243.495795130834,259.500261699997,245.698260116597,261.179936750842,275.397823489564,300.529107448254,312.008988479056,303.834722501222,321.328674790211,262.918211034363,275.480800800953,262.699592456541,303.739199077571,327.804836307235,352.195735531902,364.994276247037,366.050595765994,389.901482605096,386.97880748172,395.363369541613,412.876350791344,480.169000793052,548.284277310933,621.634025742886,700.501669734139,891.354655066871,850.845896231549,954.946968687979,1172.92759811917,1258.66729677703,1249.08479770369,1249.51585920849,1368.60201104455,1405.46871267794,1505.79459421312,1734.58342289155,1752.68632781539,1821.96092080272,..
26,..,..,..,..,..,5.17803441415216,8.28481934325614,7.35809578270562,7.10399067917943,7.2092652192685,6.58618989914915,6.77277980478282,6.66426076746577,6.76689528677311,6.25521058230423,6.62067945811952,6.29734950496568,7.14668324863171,8.32324681156203,10.092077569342,11.1328023445107,10.4203104573115,11.7960828535608,12.5606853391081,14.8385535541655,15.6757007942484,15.4803916758606,15.7947453827268,15.2899887882527,15.2910658083093,14.726382970197,14.5267178131446,16.274836286648,18.839458383178,21.1077486149591,21.9245866587745,23.821178401787,24.4423939511293,21.9514853532884,22.8452161183747,23.9610512526495,22.3597406030478,22.5564898144963,21.7579108549869,20.9031449231601,20.5368224335064,19.3010727572026,19.8861632718911,19.092676507557,16.1683355736439,..
27,..,..,..,..,..,5083696561.05019,8488294506.32651,8919115803.00661,9740281620.22291,11043224555.5277,12300499979.4489,13107699395.1864,13332320163.569,14684162772.2976,13198494328.6619,15316544685.592,15590600063.4237,19796312598.7099,24387113157.8767,29569787278.1722,35290983432.099,27718025816.4486,33500875304.1126,34541884682.5471,47928527979.9546,55805494827.5241,60218723619.0978,65074350976.8345,63912153134.8962,69574349427.8073,68183153152.0121,69873512681.2257,83164413424.7715,113601934050.564,148598550249.312,178466135402.424,222251594488.673,295752966808.665,261222675704.132,303841374374.384,397753450793.982,404711304915.165,408272465642.383,398169768646.26,422243527447.833,427165906616.933,434274137037.058,521017477723.547,511683730402.529,459180730291.487,..
30,0.831687407998136,0.873416370331648,0.928842949144987,0.861580344753303,0.852193376504819,1.04537634685186,1.13027401736987,1.09759193933134,1.07736220218102,1.11986870656333,1.08307979527885,1.26228141674211,1.36800376967007,1.45134984251554,1.62072449777886,1.71415500875668,1.79179839727718,1.79132284077808,1.93611844202466,2.25790326147644,2.36728807138259,3.17021083242827,3.29823488854032,3.69083942773578,3.46774424243122,3.48567154186864,3.61108675096171,3.68845396569537,3.83507039379332,3.88693710925317,4.13770896055139,4.19932488359007,4.15734050723038,3.82702294195918,3.61324981204968,3.48961199461722,3.42013916495981,2.98961182532169,3.53061042209083,3.60801392794302,2.95764994743001,3.02393566071218,3.45538083550254,3.58616241456025,3.71951926474455,3.90751390284753,3.84341235355422,3.65362869235512,3.94096662076772,4.00883882505117,..
31,516010608.34048,584839104.46041,660152262.756356,733221599.58031,845043783.285788,1026330787.79261,1158033547.23648,1330446069.26049,1477171315.4104,1715426083.40077,2022781487.25868,2442956339.89183,2736787301.48884,3149429158.25872,3419728690.31339,3965594763.45806,4436026964.075,4961964268.95529,5672827035.13226,6615656556.12597,7504303186.28281,8432760814.25919,9366987083.45452,10149808426.2734,11200813903.0528,12408990689.0523,14047127461.241,15196430338.6649,16030594246.0561,17685563847.1019,19157592487.3529,20198752690.0682,21244009991.9473,23076948340.0138,25437278676.8297,28405441636.1842,31909898409.0751,36174303086.3925,42014264022.8808,47986585241.6421,49096989127.3381,54733235458.8904,62542393122.596,65626772186.4526,75134289147.84,81276289179.2287,86476777954.97,95725071739.704,105617905436.575,113851022631.453,..
